Price ID,Product ID,Product Name,Product Statement Descriptor,Product Tax Code,Description,Created (UTC),Amount,Currency,Interval,Interval Count,Usage Type,Aggregate Usage,Billing Scheme,Trial Period Days,Tax Behavior,internal_id (metadata),created_by (metadata),location_id (metadata),user_id (metadata)
price_1RbnCrDffY6JnI6OTPjdoHkQ,prod_STEhRUl2UuMFkq,Youth Club,,,(Monthly),2025-06-19 18:29,350.00,usd,month,1,licensed,,per_unit,,unspecified,68479ce6d4deb842033a8973,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1RYKAsDffY6JnI6O1eymjDhP,prod_SIcL1ne0SDkZLX,UYP Semi-Private Training (Non-members),,,10 Sessions,2025-06-10 04:52,1550.00,usd,,,,,per_unit,,unspecified,,,,
price_1RYJF6DffY6JnI6ON64hAqMq,prod_SIcL1ne0SDkZLX,UYP Semi-Private Training (Non-members),,,1 session,2025-06-10 03:52,180.00,usd,,,,,per_unit,,unspecified,,,,
price_1RYJDiDffY6JnI6OqEOgNAa0,prod_SIcK023lfE2fRr,UYP Private Training (Non-members),,,12 sessions (Discounted),2025-06-10 03:51,1260.00,usd,,,,,per_unit,,unspecified,,,,
price_1RYJDADffY6JnI6OlHNpe67R,prod_SIcK023lfE2fRr,UYP Private Training (Non-members),,,6 sessions (Discounted),2025-06-10 03:50,690.00,usd,,,,,per_unit,,unspecified,,,,
price_1RYJCgDffY6JnI6OyVgbyv3H,prod_SIcK023lfE2fRr,UYP Private Training (Non-members),,,1 session,2025-06-10 03:50,125.00,usd,,,,,per_unit,,unspecified,,,,
price_1RYJ3rDffY6JnI6Oemn3Qo9H,prod_STE50pty4hV8A0,Skills Academy,,,(Monthly),2025-06-10 03:41,213.00,usd,month,1,licensed,,per_unit,,unspecified,684793eeba02585a0705083f,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1RYIsKDffY6JnI6O3a5NyiAR,prod_STEhRUl2UuMFkq,Youth Club,,,(Monthly),2025-06-10 03:29,336.00,usd,month,1,licensed,,per_unit,,unspecified,68479ce6d4deb842033a8973,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1RYIsBDffY6JnI6O78xoTe8y,prod_STEhRUl2UuMFkq,Youth Club,,,(Discounted 3 Months),2025-06-10 03:29,936.00,usd,month,3,licensed,,per_unit,,unspecified,68479ce6d4deb804453a8975,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1RYIs3DffY6JnI6OU5KKuwai,prod_STEhRUl2UuMFkq,Youth Club,,,(Discounted 6 Months),2025-06-10 03:29,1709.00,usd,month,6,licensed,,per_unit,,unspecified,68479ce6d4deb83c8a3a8977,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1RYIrXDffY6JnI6OOzBjnw1m,prod_STDpE8r3B3goFK,High School Club,,,(Discounted 6 Months),2025-06-10 03:28,2141.00,usd,month,6,licensed,,per_unit,,unspecified,68479037924d71a1dd0120e9,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1RYIr7DffY6JnI6OxaIxRndT,prod_STDpE8r3B3goFK,High School Club,,,(Monthly),2025-06-10 03:28,395.00,usd,month,1,licensed,,per_unit,,unspecified,68479037924d71e3d10120e7,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1RYIqpDffY6JnI6OKB2q0BUp,prod_STETCMIj40XnRa,Friday Night Hoops - The League,,,+ Skills Academy (Discounted Bundle),2025-06-10 03:27,277.00,usd,month,1,licensed,,per_unit,,unspecified,6847997cd4deb86af03a82eb,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1RYIqZDffY6JnI6OmCiETW4Y,prod_STETCMIj40XnRa,Friday Night Hoops - The League,,,(Discounted 3 Months),2025-06-10 03:27,792.00,usd,month,3,licensed,,per_unit,,unspecified,6847997cd4deb89e9e3a82e9,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1RYIqRDffY6JnI6ONtSsy2C6,prod_STETCMIj40XnRa,Friday Night Hoops - The League,,,(Monthly),2025-06-10 03:27,171.00,usd,month,1,licensed,,per_unit,,unspecified,6847997cd4deb887263a82e7,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1RYIpTDffY6JnI6OzYkW0CuK,prod_STE50pty4hV8A0,Skills Academy,,,+ Friday Night Hoops (Discounted Bundle),2025-06-10 03:26,277.00,usd,month,1,licensed,,per_unit,,unspecified,68479b37b174c9624353fcf3,LeadConnector,QCG9x9KJzYf8o2SK3jCx,
price_1RYIl3DffY6JnI6OgnIZxsp3,prod_STE50pty4hV8A0,Skills Academy,,,(Monthly Special Assistance),2025-06-10 03:21,233.00,usd,month,1,licensed,,per_unit,,unspecified,684793eeba025893f0050847,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1RYIkwDffY6JnI6OLD3d1VgR,prod_STE50pty4hV8A0,Skills Academy,,,(Monthly Elite),2025-06-10 03:21,244.00,usd,month,1,licensed,,per_unit,,unspecified,684793eeba0258dd47050845,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
